"entity_id"	"core_entity_id"	"core_consensus_annotation"
"EW021_RS06880"	"g005461"	"methionyl-tRNA formyltransferase"
"EW021_RS06885"	"g005148"	"primosomal protein N'"
"EW021_RS06890"	"g008034"	"DNA-directed RNA polymerase subunit omega"
"EW021_RS06895"	"g002770"	"guanylate kinase"
"EW021_RS06900"	"g004728"	"ribonuclease Y"
"EW021_RS06905"	"g000007"	"LysR family transcriptional regulator"
"EW021_RS06910"	"g000057"	"acetyl-CoA C-acetyltransferase"
"EW021_RS06915"	"g001255"	"CoA transferase subunit A"
"EW021_RS06920"	"g000162"	"CoA transferase subunit B"
"EW021_RS06925"	"g012636"	"3-hydroxybutyrate dehydrogenase"
"EW021_RS06930"	"g010952"	"GntP family permease"
"EW021_RS06935"	"g007060"	"S-ribosylhomocysteine lyase"
"EW021_RS06940"	"g010629"	"hypothetical protein"
"EW021_RS06945"	"g009760"	"class I SAM-dependent RNA methyltransferase"
"EW021_RS06955"	"g007971"	"cell division regulator GpsB"
"EW021_RS06960"	"g006917"	"DUF1273 domain-containing protein"
"EW021_RS06965"	"g006466"	"Holliday junction resolvase RecU"
"EW021_RS06970"	"g010061"	"penicillin-binding protein"
"EW021_RS06975"	"g010923"	"aminopeptidase C"
"EW021_RS06980"	"g001141"	"ammonia-dependent NAD(+) synthetase"
"EW021_RS06985"	"g004824"	"nicotinate phosphoribosyltransferase"
"EW021_RS06990"	"g010807"	"amino acid permease"
"EW021_RS06995"	"g005462"	"thioredoxin-disulfide reductase"
"EW021_RS07000"	"g008686"	"DUF4059 family protein"
"EW021_RS07005"	"g000004"	"amino acid ABC transporter ATP-binding protein"
"EW021_RS07010"	"g012506"	"amino acid ABC transporter permease"
"EW021_RS07015"	"g010905"	"DEAD/DEAH box helicase"
"EW021_RS07020"	"g011446"	"phospho-N-acetylmuramoyl-pentapeptide- transferase"
"EW021_RS07025"	"g010034"	"penicillin-binding protein"
"EW021_RS07030"	"g007993"	"cell division protein FtsL"
"EW021_RS07035"	"g005270"	"16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH"
"EW021_RS07040"	"g014541"	"None"
"EW021_RS07050"	"g009426"	"glutamate-5-semialdehyde dehydrogenase"
"EW021_RS07055"	"g012411"	"glutamate 5-kinase"
"EW021_RS07060"	"g004706"	"ABC transporter permease"
"EW021_RS07065"	"g012874"	"ABC transporter ATP-binding protein"
"EW021_RS07070"	"g003766"	"bacteriocin immunity protein"
"EW021_RS07075"	"g000088"	"transketolase"
"EW021_RS07080"	"g006301"	"fructose-6-phosphate aldolase"
"EW021_RS07085"	"g004798"	"helix-turn-helix domain-containing protein"
"EW021_RS07090"	"g010900"	"NAD(P)/FAD-dependent oxidoreductase"
"EW021_RS07095"	"g002492"	"aquaporin family protein"
"EW021_RS07100"	"g010205"	"type 1 glycerol-3-phosphate oxidase"
"EW021_RS07105"	"g000997"	"glycerol kinase GlpK"
"EW021_RS07110"	"g007234"	"PepSY domain-containing protein"
"EW021_RS07115"	"g003798"	"DUF896 family protein"
"EW021_RS07120"	"g004530"	"glycine--tRNA ligase subunit beta"
"EW021_RS07125"	"g005526"	"glycine--tRNA ligase subunit alpha"
"EW021_RS07130"	"g008851"	"hypothetical protein"
"EW021_RS07135"	"g006733"	"isoprenylcysteine carboxyl methyltransferase family protein"
"EW021_RS07140"	"g012327"	"aldo/keto reductase"
"EW021_RS07145"	"g009779"	"N-acetylglucosamine-6-phosphate deacetylase"
"EW021_RS07150"	"g010401"	"Na/Pi cotransporter family protein"
"EW021_RS07155"	"g012930"	"hypothetical protein"
"EW021_RS07160"	"g012304"	"DegV family protein"
"EW021_RS07165"	"g006707"	"TetR/AcrR family transcriptional regulator"
"EW021_RS07170"	"g005773_1"	"Cof-type HAD-IIB family hydrolase"
"EW021_RS07175"	"g006478"	"trimeric intracellular cation channel family protein"
"EW021_RS07180"	"g002337"	"tagatose-bisphosphate aldolase"
"EW021_RS07190"	"g000657_1"	"galactose-6-phosphate isomerase subunit LacB"
"EW021_RS07195"	"g000713_2"	"galactose-6-phosphate isomerase subunit LacA"
"EW021_RS07200"	"g010662"	"PTS glucose transporter subunit IIC"
"EW021_RS07205"	"g001662"	"PTS sugar transporter subunit IIB"
"EW021_RS07210"	"g007115"	"PTS sugar transporter subunit IIA"
"EW021_RS07215"	"g005890_1"	"DeoR/GlpR transcriptional regulator"
"EW021_RS07220"	"g001831"	"hypothetical protein"
"EW021_RS07225"	"g000838"	"heavy-metal-associated domain-containing protein"
"EW021_RS07230"	"g004493"	"copper-translocating P-type ATPase"
"EW021_RS07235"	"g000706"	"CopY/TcrY family copper transport repressor"
"EW021_RS07240"	"g005304"	"alpha/beta hydrolase"
"EW021_RS07245"	"g003507"	"30S ribosome-binding factor RbfA"
"EW021_RS07250"	"g000950"	"translation initiation factor IF-2"
"EW021_RS07255"	"g008146"	"YlxQ-related RNA-binding protein"
"EW021_RS07260"	"g008180"	"YlxR family protein"
"EW021_RS07265"	"g009752"	"transcription termination/antitermination protein NusA"
"EW021_RS07270"	"g014542"	"None"
"EW021_RS07275"	"g000126_1"	"hypothetical protein"
"EW021_RS07280"	"g009706"	"streptodornase Sda1"
"EW021_RS07285"	"g000429_2"	"streptodornase Sda1"
"EW021_RS07290"	"g001814"	"hypothetical protein"
"EW021_RS07295"	"g001665"	"hypothetical protein"
"EW021_RS07300"	"g000165_1"	"DUF1366 domain-containing protein"
"EW021_RS07305"	"g009216"	"hypothetical protein"
"EW021_RS07310"	"g000460_1"	"hypothetical protein"
"EW021_RS07315"	"g000575_2"	"hypothetical protein"
"EW021_RS07320"	"g001774_2"	"hypothetical protein"
"EW021_RS07325"	"g000947"	"peptidase"
"EW021_RS07330"	"g012307"	"hypothetical protein"
"EW021_RS07335"	"g011055"	"tape measure protein"
"EW021_RS07340"	"g008611"	"hypothetical protein"
"EW021_RS07345"	"g007215"	"hypothetical protein"
"EW021_RS07350"	"g006515"	"phage major tail protein%2C TP901-1 family"
"EW021_RS07355"	"g007759"	"hypothetical protein"
"EW021_RS07360"	"g007857"	"hypothetical protein"
"EW021_RS07365"	"g008294"	"hypothetical protein"
"EW021_RS07370"	"g007774"	"phage head-tail connector protein"
"EW021_RS07375"	"g012073"	"hypothetical protein"
"EW021_RS07380"	"g006645"	"DUF4355 domain-containing protein"
"EW021_RS07385"	"g000203"	"hypothetical protein"
"EW021_RS07390"	"g009042"	"hypothetical protein"
"EW021_RS07395"	"g010670"	"hypothetical protein"
"EW021_RS07400"	"g010506"	"phage portal protein"
"EW021_RS07405"	"g004156"	"PBSX family phage terminase large subunit"
"EW021_RS07410"	"g007238"	"terminase small subunit"
"EW021_RS07415"	"g007429"	"DUF722 domain-containing protein"
"EW021_RS07420"	"g009007"	"hypothetical protein"
"EW021_RS07425"	"g012265"	"site-specific DNA-methyltransferase"
"EW021_RS07430"	"g000116_3"	"hypothetical protein"
"EW021_RS07435"	"g004937"	"DEAD/DEAH box helicase"
"EW021_RS07440"	"g008310"	"VRR-NUC domain-containing protein"
"EW021_RS07445"	"g011223"	"DNA primase"
"EW021_RS07450"	"g004550"	"DNA polymerase"
"EW021_RS07455"	"g006711"	"DUF2815 family protein"
"EW021_RS07460"	"g007507"	"hypothetical protein"
"EW021_RS07465"	"g009761"	"DUF2800 domain-containing protein"
"EW021_RS07470"	"g008163"	"hypothetical protein"
"EW021_RS07475"	"g008876"	"hypothetical protein"
"EW021_RS07480"	"g007597"	"hypothetical protein"
"EW021_RS07485"	"g008877"	"hypothetical protein"
"EW021_RS07490"	"g001813"	"hypothetical protein"
"EW021_RS07495"	"g008311"	"hypothetical protein"
"EW021_RS07500"	"g008765"	"hypothetical protein"
"EW021_RS07505"	"g003353_1"	"hypothetical protein"
"EW021_RS07510"	"g001548_1"	"helix-turn-helix transcriptional regulator"
"EW021_RS07515"	"g003429"	"hypothetical protein"
"EW021_RS07520"	"g006747"	"hypothetical protein"
"EW021_RS07525"	"g009978"	"site-specific integrase"
"EW021_RS07535"	"g002751"	"tRNA (guanosine(46)-N7)-methyltransferase TrmB"
"EW021_RS07540"	"g012561"	"phosphotransferase family protein"
"EW021_RS07545"	"g011350"	"ABC transporter permease"
"EW021_RS07550"	"g005986"	"ABC transporter ATP-binding protein"
"EW021_RS07555"	"g001519"	"HIT family protein"
"EW021_RS07560"	"g007772"	"hypothetical protein"
"EW021_RS07565"	"g009325"	"LCP family protein"
"EW021_RS07570"	"g006873"	"GNAT family N-acetyltransferase"
"EW021_RS07575"	"g007174"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE"
"EW021_RS07580"	"g010645"	"NCS2 family permease"
"EW021_RS07585"	"g012457"	"Cof-type HAD-IIB family hydrolase"
"EW021_RS07590"	"g011541"	"PTS mannose transporter subunit IIAB"
"EW021_RS07595"	"g000273"	"PTS mannose/fructose/sorbose transporter subunit IIC"
"EW021_RS07600"	"g011954"	"PTS mannose/fructose/sorbose transporter family subunit IID"
"EW021_RS07605"	"g007758"	"DUF956 family protein"
"EW021_RS07610"	"g000864"	"serine--tRNA ligase"
"EW021_RS07615"	"g001104"	"acetyl-CoA carboxylase carboxyl transferase subunit alpha"
"EW021_RS07620"	"g012188"	"acetyl-CoA carboxylase carboxyltransferase subunit beta"
"EW021_RS07625"	"g000255"	"acetyl-CoA carboxylase biotin carboxylase subunit"
"EW021_RS07630"	"g003280"	"3-hydroxyacyl-ACP dehydratase FabZ"
"EW021_RS07635"	"g006974"	"acetyl-CoA carboxylase biotin carboxyl carrier protein"
"EW021_RS07640"	"g009497"	"beta-ketoacyl-ACP synthase II"
"EW021_RS07645"	"g012875"	"3-oxoacyl-[acyl-carrier-protein] reductase"
"EW021_RS07650"	"g011800"	"ACP S-malonyltransferase"
"EW021_RS07655"	"g011638"	"enoyl-[acyl-carrier-protein] reductase FabK"
"EW021_RS07660"	"g008687"	"acyl carrier protein"
"EW021_RS07665"	"g011628"	"ketoacyl-ACP synthase III"
"EW021_RS07670"	"g007331"	"MarR family transcriptional regulator"
"EW021_RS07675"	"g012562"	"enoyl-CoA hydratase"
"EW021_RS07680"	"g004354"	"molecular chaperone DnaJ"
"EW021_RS07685"	"g000961"	"molecular chaperone DnaK"
"EW021_RS07690"	"g006621"	"nucleotide exchange factor GrpE"
"EW021_RS07695"	"g011351"	"heat-inducible transcriptional repressor HrcA"
"EW021_RS07700"	"g006643"	"glycoside hydrolase family 73 protein"
"EW021_RS07705"	"g005975"	"D-alanyl-D-alanine carboxypeptidase family protein"
"EW021_RS07710"	"g006064"	"histidine phosphatase family protein"
"EW021_RS07715"	"g003820_2"	"GlsB/YeaQ/YmgE family stress response membrane protein"
"EW021_RS07720"	"g003929"	"hypothetical protein"
"EW021_RS07725"	"g004848"	"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB"
"EW021_RS07730"	"g004828"	"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA"
"EW021_RS07735"	"g008147"	"Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC"
"EW021_RS07745"	"g004018"	"hypothetical protein"
"EW021_RS07750"	"g006734"	"cysteine hydrolase"
"EW021_RS07755"	"g012618"	"GTP-sensing pleiotropic transcriptional regulator CodY"
"EW021_RS07760"	"g001918"	"pyridoxal phosphate-dependent aminotransferase"
"EW021_RS07765"	"g001430_1"	"universal stress protein"
"EW021_RS07770"	"g010787"	"Cof-type HAD-IIB family hydrolase"
"EW021_RS07775"	"g005381"	"asparaginase"
"EW021_RS07780"	"g013008"	"ABC transporter permease"
"EW021_RS07785"	"g012004"	"ABC transporter ATP-binding protein"
"EW021_RS07790"	"g004523"	"ATP-dependent DNA helicase RecG"
"EW021_RS07795"	"g000036_2"	"hypothetical protein"
"EW021_RS07800"	"g010773"	"ABC transporter ATP-binding protein"
"EW021_RS07805"	"g006148"	"energy-coupling factor transporter transmembrane protein EcfT"
"EW021_RS07810"	"g006534"	"MptD family putative ECF transporter S component"
"EW021_RS07815"	"g010352"	"ABC transporter ATP-binding protein"
"EW021_RS07820"	"g010256"	"ABC transporter ATP-binding protein/permease"
"EW021_RS07825"	"g000537"	"ABC transporter ATP-binding protein"
"EW021_RS07830"	"g011399"	"iron ABC transporter permease"
"EW021_RS07835"	"g012092"	"heme ABC transporter substrate-binding protein IsdE"
"EW021_RS07840"	"g012138"	"heme-binding protein"
"EW021_RS07845"	"g011066"	"DUF1533 domain-containing protein"
"EW021_RS07850"	"g000462"	"CHAP domain-containing protein"
"EW021_RS07855"	"g004412"	"alanine racemase"
"EW021_RS07860"	"g007773"	"holo-ACP synthase"
"EW021_RS07865"	"g000026"	"preprotein translocase subunit SecA"
"EW021_RS07870"	"g014543"	"None"
"EW021_RS07880"	"g005414"	"mannose-6-phosphate isomerase%2C class I"
"EW021_RS07885"	"g012093"	"ROK family protein"
"EW021_RS07890"	"g002237"	"endo-beta-N-acetylglucosaminidase"
"EW021_RS07895"	"g010183"	"PTS beta-glucoside transporter subunit IIBCA"
"EW021_RS07900"	"g010677"	"glycoside hydrolase family 32 protein"
"EW021_RS07905"	"g011659"	"LacI family transcriptional regulator"
"EW021_RS07910"	"g007235"	"transcription antitermination factor NusB"
"EW021_RS07915"	"g007572"	"Asp23/Gls24 family envelope stress response protein"
"EW021_RS07920"	"g006708"	"elongation factor P"
"EW021_RS07925"	"g001468"	"ComE operon protein 2"
"EW021_RS07930"	"g010000"	"aminopeptidase P family protein"
"EW021_RS07935"	"g001041"	"excinuclease ABC subunit UvrA"
"EW021_RS07940"	"g011763"	"magnesium transporter CorA family protein"
"EW021_RS07945"	"g006258"	"DUF1129 domain-containing protein"
"EW021_RS07950"	"g001749"	"30S ribosomal protein S18"
"EW021_RS07955"	"g000102_1"	"single-stranded DNA-binding protein"
"EW021_RS07960"	"g003672"	"30S ribosomal protein S6"
"EW021_RS07965"	"g008204"	"hypothetical protein"
"EW021_RS07970"	"g009853"	"A/G-specific adenine glycosylase"
"EW021_RS07975"	"g001348"	"helix-turn-helix transcriptional regulator"
"EW021_RS07980"	"g000775"	"thioredoxin TrxA"
"EW021_RS07985"	"g006960"	"phosphatase PAP2 family protein"
"EW021_RS07990"	"g011233"	"endonuclease MutS2"
"EW021_RS07995"	"g002980"	"CvpA family protein"
"EW021_RS08000"	"g008103"	"hypothetical protein"
"EW021_RS08005"	"g012005"	"ribonuclease HIII"
"EW021_RS08010"	"g006535"	"signal peptidase I"
"EW021_RS08015"	"g005128"	"ATP-dependent RecD-like DNA helicase"
"EW021_RS08020"	"g003131"	"hypothetical protein"
"EW021_RS08025"	"g009930"	"DNA polymerase IV"
"EW021_RS08030"	"g011237"	"formate C-acetyltransferase"
"EW021_RS08035"	"g011733"	"serine hydrolase"
"EW021_RS08040"	"g012779"	"peptidase"
"EW021_RS08045"	"g012072"	"TSUP family transporter"
"EW021_RS08050"	"g011747"	"aquaporin family protein"
"EW021_RS08055"	"g001430_2"	"universal stress protein"
"EW021_RS08060"	"g011024"	"MFS transporter"
"EW021_RS08065"	"g012940"	"Crp/Fnr family transcriptional regulator"
"EW021_RS08070"	"g010026"	"Xaa-Pro dipeptidyl-peptidase"
"EW021_RS08075"	"g008712"	"helix-turn-helix transcriptional regulator"
"EW021_RS08080"	"g007667"	"helix-turn-helix transcriptional regulator"
"EW021_RS08085"	"g008162"	"YbaB/EbfC family nucleoid-associated protein"
"EW021_RS08090"	"g000199"	"MerR family transcriptional regulator"
"EW021_RS08095"	"g002788"	"3'-5' exonuclease"
"EW021_RS08100"	"g006578"	"DUF536 domain-containing protein"
"EW021_RS08105"	"g004306"	"NAD(P)/FAD-dependent oxidoreductase"
"EW021_RS08110"	"g006198"	"deoxyribose-phosphate aldolase"
"EW021_RS08115"	"g009598"	"NupC/NupG family nucleoside CNT transporter"
"EW021_RS08120"	"g012637"	"uridine phosphorylase"
"EW021_RS08125"	"g012743"	"GntR family transcriptional regulator"
"EW021_RS08130"	"g000383"	"30S ribosomal protein S14"
"EW021_RS08135"	"g005238"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD"
"EW021_RS08140"	"g003318"	"ribosomal-protein-alanine N-acetyltransferase"
"EW021_RS08145"	"g013030"	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"
"EW021_RS08150"	"g008636"	"DNA-dependent RNA polymerase auxiliary subunit epsilon family protein"
"EW021_RS08155"	"g004654"	"ribonuclease J"
"EW021_RS08160"	"g004973"	"type I glutamate--ammonia ligase"
"EW021_RS08165"	"g003459"	"MerR family transcriptional regulator"
"EW021_RS08170"	"g006746"	"aromatic acid exporter family protein"
"EW021_RS08175"	"g004268"	"phosphoglycerate kinase"
"EW021_RS08180"	"g005609"	"5'-nucleotidase%2C lipoprotein e(P4) family"
"EW021_RS08185"	"g012058"	"SPFH domain-containing protein"
"EW021_RS08190"	"g004674"	"DAK2 domain-containing protein"
"EW021_RS08195"	"g007711"	"Asp23/Gls24 family envelope stress response protein"
"EW021_RS08200"	"g001846"	"hypothetical protein"
"EW021_RS08205"	"g009828"	"ISAs1-like element IS1548 family transposase"
"EW021_RS08210"	"g004005"	"50S ribosomal protein L28"
"EW021_RS08215"	"g012107"	"fructose-bisphosphate aldolase"
"EW021_RS08225"	"g011871"	"alpha/beta hydrolase"
"EW021_RS08230"	"g000986"	"CTP synthase (glutamine hydrolyzing)"
"EW021_RS08235"	"g006608"	"DNA-directed RNA polymerase subunit delta"
"EW021_RS08240"	"g009326"	"trigger factor"
"EW021_RS08245"	"g012290"	"mechanosensitive ion channel family protein"
"EW021_RS08250"	"g006709"	"TIGR01440 family protein"
"EW021_RS08255"	"g007132"	"membrane protein"
"EW021_RS08260"	"g012712"	"bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase"
"EW021_RS08265"	"g012795"	"tRNA pseudouridine(38-40) synthase TruA"
"EW021_RS08270"	"g006744"	"sigma-70 family RNA polymerase sigma factor"
"EW021_RS08305"	"g014544"	"None"
"EW021_RS08310"	"g000145"	"murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF"
"EW021_RS08315"	"g000021"	"ABC transporter ATP-binding protein"
"EW021_RS08320"	"g011865"	"ABC transporter permease"
"EW021_RS08325"	"g010545"	"ABC transporter permease"
"EW021_RS08330"	"g010139"	"peptide ABC transporter substrate-binding protein"
"EW021_RS08335"	"g009495"	"D-alanyl-D-alanine carboxypeptidase"
"EW021_RS08340"	"g009674"	"D-alanyl-D-alanine carboxypeptidase"
"EW021_RS08345"	"g004874"	"Fe-S cluster assembly protein SufB"
"EW021_RS08350"	"g007080"	"SUF system NifU family Fe-S cluster assembly protein"
"EW021_RS08355"	"g004208"	"cysteine desulfurase"
"EW021_RS08360"	"g009389"	"Fe-S cluster assembly protein SufD"
"EW021_RS08365"	"g000541"	"Fe-S cluster assembly ATPase SufC"
"EW021_RS08370"	"g009721"	"undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase"
"EW021_RS08375"	"g012725"	"adaptor protein MecA"
"EW021_RS08380"	"g012323"	"undecaprenyl-diphosphate phosphatase"
"EW021_RS08385"	"g010164"	"DUF2207 domain-containing protein"
"EW021_RS08390"	"g010453"	"ABC transporter substrate-binding protein/permease"
"EW021_RS08395"	"g000004"	"amino acid ABC transporter ATP-binding protein"
"EW021_RS08400"	"g014545"	"None"
"EW021_RS08405"	"g000262"	"type I glyceraldehyde-3-phosphate dehydrogenase"
"EW021_RS08410"	"g000457"	"elongation factor G"
"EW021_RS08415"	"g000689"	"30S ribosomal protein S7"
"EW021_RS08420"	"g001530"	"30S ribosomal protein S12"
"EW021_RS08425"	"g011169"	"SEC10/PgrA surface exclusion domain-containing protein"
"EW021_RS08430"	"g012322"	"pur operon repressor"
"EW021_RS08435"	"g011798"	"HD domain-containing protein"
"EW021_RS08440"	"g009353"	"DNA recombination protein RmuC"
"EW021_RS08445"	"g006355"	"thiamine diphosphokinase"
"EW021_RS08450"	"g002709"	"ribulose-phosphate 3-epimerase"
"EW021_RS08455"	"g012150"	"ribosome small subunit-dependent GTPase A"
"EW021_RS08460"	"g005600"	"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA"
"EW021_RS08465"	"g006639"	"ribonuclease M5"
"EW021_RS08470"	"g005772"	"TatD family hydrolase"
"EW021_RS08475"	"g012369"	"MurR/RpiR family transcriptional regulator"
"EW021_RS08480"	"g011797"	"ROK family protein"
"EW021_RS08485"	"g011934"	"N-acetylneuraminate lyase"
"EW021_RS08490"	"g000569"	"DUF624 domain-containing protein"
"EW021_RS08495"	"g012368"	"carbohydrate ABC transporter permease"
"EW021_RS08500"	"g012070"	"sugar ABC transporter permease"
"EW021_RS08505"	"g010974"	"carbohydrate ABC transporter substrate-binding protein"
"EW021_RS08510"	"g013005"	"N-acetylmannosamine-6-phosphate 2-epimerase"
"EW021_RS08515"	"g001854"	"50S ribosomal protein L34"
"EW021_RS08520"	"g005535"	"protein jag"
"EW021_RS08525"	"g012386"	"membrane protein insertase YidC"
"EW021_RS08530"	"g007756"	"ribonuclease P protein component"
"EW021_RS08535"	"g012844"	"response regulator transcription factor"
"EW021_RS08540"	"g009322"	"sensor histidine kinase"
"EW021_RS08545"	"g010898"	"sensor histidine kinase"
"EW021_RS08550"	"g004838"	"glutamate--tRNA ligase"
"EW021_RS08555"	"g013044"	"TIGR00266 family protein"
"EW021_RS08560"	"g001441"	"carbonic anhydrase"
"EW021_RS08565"	"g004942"	"DNA repair protein RadA"
"EW021_RS08570"	"g003257"	"dUTP diphosphatase"
"EW021_RS08575"	"g005908"	"epoxyqueuosine reductase QueH"
"EW021_RS08580"	"g010238"	"ABC transporter ATP-binding protein"
"EW021_RS08585"	"g010310"	"ABC transporter ATP-binding protein"
"EW021_RS08590"	"g007252"	"MarR family transcriptional regulator"
"EW021_RS08595"	"g011419"	"NAD(P)H-dependent glycerol-3-phosphate dehydrogenase"
"EW021_RS08600"	"g002400"	"UTP--glucose-1-phosphate uridylyltransferase GalU"
"EW021_RS08605"	"g006196"	"rhomboid family intramembrane serine protease"
"EW021_RS08610"	"g014546"	"None"
"EW021_RS08615"	"g009828"	"ISAs1-like element IS1548 family transposase"
"EW021_RS08620"	"g000873"	"YSIRK signal domain/LPXTG anchor domain surface protein"
"EW021_RS08625"	"g002226"	"C5a peptidase ScpA/B"
"EW021_RS08635"	"g005359"	"lysis inhibitor protein"
"EW021_RS08640"	"g000009_3"	"LPXTG cell wall anchor domain-containing protein"
"EW021_RS08645"	"g004729"	"M protein trans-acting positive regulator"
"EW021_RS08650"	"g001805"	"hypothetical protein"
"EW021_RS08655"	"g003813"	"hypothetical protein"
"EW021_RS08660"	"g000462"	"CHAP domain-containing protein"
"EW021_RS08665"	"g010788"	"HAMP domain-containing histidine kinase"
"EW021_RS08670"	"g006265"	"response regulator transcription factor"
"EW021_RS08675"	"g009542"	"FtsX-like permease family protein"
"EW021_RS08680"	"g000554"	"macrolide ABC transporter ATP-binding protein/permease MacB"
"EW021_RS08685"	"g009368"	"efflux RND transporter periplasmic adaptor subunit"
"EW021_RS08690"	"g007476"	"hypothetical protein"
"EW021_RS08695"	"g003671"	"DUF4298 domain-containing protein"
"EW021_RS08700"	"g001755"	"hypothetical protein"
"EW021_RS08705"	"g005188_2"	"peptidylprolyl isomerase PrsA"
"EW021_RS08710"	"g003605"	"hypothetical protein"
"EW021_RS08715"	"g008121"	"streptopain"
"EW021_RS08720"	"g009622"	"cysteine proteinase exotoxin SpeB"
"EW021_RS08730"	"g009279"	"hypothetical protein"
"EW021_RS08735"	"g012305"	"transcriptional regulator"
"EW021_RS08740"	"g012442"	"streptodornase B"
"EW021_RS08745"	"g003054"	"phosphatidylglycerophosphatase A"
"EW021_RS08750"	"g009950"	"glycerol dehydrogenase"
"EW021_RS08755"	"g006210"	"fructose-6-phosphate aldolase"
"EW021_RS08760"	"g001573"	"glycyl radical protein"
"EW021_RS08765"	"g011007"	"PTS sugar transporter subunit IIC"
"EW021_RS08770"	"g003636"	"PTS sugar transporter subunit IIB"
"EW021_RS08775"	"g008008"	"PTS lactose/cellobiose transporter subunit IIA"
"EW021_RS08780"	"g011603"	"sugar-binding transcriptional regulator"
"EW021_RS08785"	"g012807"	"DeoR/GlpR transcriptional regulator"
"EW021_RS08790"	"g012667"	"glycyl-radical enzyme activating protein"
"EW021_RS08795"	"g008911"	"hypothetical protein"
"EW021_RS08800"	"g009172"	"preprotein translocase subunit SecE"
"EW021_RS08805"	"g009236"	"50S ribosomal protein L33"
"EW021_RS08810"	"g011234"	"penicillin-binding protein"
"EW021_RS08815"	"g007634"	"RidA family protein"
"EW021_RS08820"	"g009005"	"hypothetical protein"
"EW021_RS08825"	"g012427"	"RluA family pseudouridine synthase"
"EW021_RS08830"	"g010293"	"hypothetical protein"
"EW021_RS08835"	"g010555"	"C69 family dipeptidase"
"EW021_RS08840"	"g004060"	"hypothetical protein"
"EW021_RS08850"	"g000983"	"chaperonin GroEL"
"EW021_RS08855"	"g008218"	"co-chaperone GroES"
"EW021_RS08860"	"g011207"	"ATP-dependent Clp protease ATP-binding subunit"
"EW021_RS08865"	"g007175"	"CtsR family transcriptional regulator"
"EW021_RS08870"	"g000014_1"	"transcription antiterminator/RNA stability regulator CspE"
"EW021_RS08880"	"g001363"	"alkyl hydroperoxide reductase subunit C"
"EW021_RS08885"	"g000993"	"alkyl hydroperoxide reductase subunit F"
"EW021_RS08890"	"g009314"	"imidazolonepropionase"
"EW021_RS08895"	"g010115"	"urocanate hydratase"
"EW021_RS08900"	"g012018"	"glutamate formimidoyltransferase"
"EW021_RS08905"	"g006391"	"sugar ABC transporter substrate-binding protein"
"EW021_RS08910"	"g000979_2"	"formate--tetrahydrofolate ligase"
"EW021_RS08915"	"g001333"	"HutD family protein"
"EW021_RS08920"	"g010906"	"APC family permease"
"EW021_RS08925"	"g010491"	"histidine ammonia-lyase"
"EW021_RS08930"	"g011570"	"formimidoylglutamase"
"EW021_RS08935"	"g011120"	"AAA family ATPase"
"EW021_RS08940"	"g001163"	"30S ribosomal protein S2"
"EW021_RS08945"	"g011330"	"elongation factor Ts"
"EW021_RS08950"	"g010176"	"endopeptidase"
"EW021_RS08955"	"g000246"	"alpha%2Calpha-phosphotrehalase"
"EW021_RS08960"	"g010118"	"PTS system trehalose-specific EIIBC component"
"EW021_RS08965"	"g012967"	"trehalose operon repressor"
"EW021_RS08970"	"g001858"	"hypothetical protein"
"EW021_RS08975"	"g014547"	"None"
"EW021_RS08980"	"g002459"	"VOC family protein"
"EW021_RS08985"	"g002599"	"peroxide stress protein YaaA"
"EW021_RS08990"	"g006444"	"anaerobic ribonucleoside-triphosphate reductase activating protein"
"EW021_RS08995"	"g006938"	"GNAT family N-acetyltransferase"
"EW021_RS09000"	"g011813"	"Gfo/Idh/MocA family oxidoreductase"
"EW021_RS09005"	"g000942"	"anaerobic ribonucleoside-triphosphate reductase"
"EW021_RS09010"	"g010468"	"membrane protein"
"EW021_RS09015"	"g008122"	"DUF1292 domain-containing protein"
"EW021_RS09020"	"g003310"	"Holliday junction resolvase RuvX"
"EW021_RS09025"	"g003755"	"IreB family regulatory phosphoprotein"
"EW021_RS09030"	"g007506"	"transcriptional regulator Spx"
"EW021_RS09035"	"g000913"	"recombinase RecA"
"EW021_RS09040"	"g009355"	"competence/damage-inducible protein A"
"EW021_RS09045"	"g006689"	"DNA-3-methyladenine glycosylase I"
"EW021_RS09050"	"g002854"	"Holliday junction branch migration protein RuvA"
"EW021_RS09055"	"g009527"	"MFS transporter"
"EW021_RS09060"	"g010136"	"DNA mismatch repair endonuclease MutL"
